Country,deaths
Afghanistan,100
Albania,100
Algeria,200
Andorra,No data
Angola,3900
Antigua and Barbuda,No data
Argentina,2200
Armenia,100
Australia,1000
Austria,No data
Azerbaijan,100
Bahamas,No data
Bahrain,100
Bangladesh,100
Barbados,100
Belarus,100
Belgium,No data
Belize,100
Benin,2500
Bhutan,No data
Bolivia,500
Bosnia and Herzegovina,No data
Botswana,15000
Brazil,15000
Brunei,No data
Bulgaria,100
Burkina Faso,14000
Burundi,5800
Ivory Coast,44000
Cabo Verde,200
Cambodia,7400
Cameroon,18000
Canada,No data
Central African Republic,13000
Chad,4900
Chile,No data
China,No data
Colombia,5100
Comoros,100
Republic of the Congo,6100
Cook Islands,No data
Costa Rica,200
Croatia,No data
Cuba,200
Cyprus,No data
Czech Republic,100
North Korea,No data
Democratic Republic of the Congo,35000
Denmark,No data
Djibouti,500
Dominica,No data
Dominican Republic,5600
Ecuador,1200
Egypt,100
El Salvador,1000
Equatorial Guinea,1000
Eritrea,1000
Estonia,No data
Ethiopia,76000
Fiji,100
Finland,No data
France,1500
Gabon,2300
Gambia,500
Georgia,100
Germany,No data
Ghana,29000
Greece,No data
Grenada,No data
Guatemala,500
Guinea,5800
Guinea-Bissau,1000
Guyana,200
Haiti,12000
Honduras,2300
Hungary,No data
Iceland,No data
India,82000
Indonesia,1600
Iran,1000
Iraq,No data
Ireland,No data
Israel,No data
Italy,No data
Jamaica,1700
Japan,No data
Jordan,100
Kazakhstan,200
Kenya,120000
Kiribati,No data
Kuwait,100
Kyrgyzstan,100
Laos,100
Latvia,500
Lebanon,100
Lesotho,8900
Liberia,4500
Libya,No data
Lithuania,100
Luxembourg,100
Madagascar,1000
Malawi,63000
Malaysia,7700
Maldives,No data
Mali,5800
Malta,100
Marshall Islands,No data
Mauritania,500
Mauritius,No data
Mexico,6400
Micronesia (Federated States of),No data
Monaco,No data
Mongolia,100
Montenegro,100
Morocco,500
Mozambique,42000
Myanmar,8300
Namibia,7600
Nauru,No data
Nepal,1000
Netherlands,200
New Zealand,No data
Nicaragua,500
Niger,3200
Nigeria,140000
Niue,No data
Norway,No data
Oman,No data
Pakistan,100
Palau,No data
Panama,500
Papua New Guinea,1000
Paraguay,500
Peru,5800
Philippines,100
Poland,No data
Portugal,No data
Qatar,100
South Korea,No data
Moldova,200
Romania,1000
Russia,No data
Rwanda,13000
Saint Kitts and Nevis,No data
Saint Lucia,No data
Saint Vincent and the Grenadines,No data
Samoa,No data
San Marino,No data
Sao Tome and Principe,No data
Saudi Arabia,100
Senegal,1900,1400
Serbia,100
Seychelles,No data
Sierra Leone,1200
Singapore,No data
Slovakia,100
Slovenia,100
Solomon Islands,No data
Somalia,1100
South Africa,130000
South Sudan,2700
Spain,No data
Sri Lanka,100
Sudan,1000
Suriname,200
Swaziland,7000
Sweden,500
Switzerland,No data
Syrian Arab Republic,No data
Tajikistan,100
Thailand,51000
Macedonia,100
Timor-Leste,No data
Togo,6000
Tonga,No data
Trinidad and Tobago,500
Tunisia,100
Turkey,No data
Turkmenistan,No data
Tuvalu,No data
Uganda,100000
Ukraine,5000
United Arab Emirates,No data
United Kingdom,No data
Tanzania,100000
United States,No data
Uruguay,200
Uzbekistan,No data
Vanuatu,No data
Venezuela,1900
Vietnam,3300
Yemen,200
Zambia,61000
Zimbabwe,99000
Greenland, No data
Puerto Rico, No data
The Bahamas, No data
