Country,values
Afghanistan,200
Albania,100
Algeria,500
Andorra,No data
Angola,7600
Antigua and Barbuda,No data
Argentina,2000
Armenia,200
Australia,500
Austria,No data
Azerbaijan,200
Bahamas,No data
Bahrain,100
Bangladesh,500
Barbados,100
Belarus,100
Belgium,No data
Belize,100
Benin,4100
Bhutan,No data
Bolivia,1000
Bosnia and Herzegovina,No data
Botswana,13000
Brazil,14000
Brunei,No data
Bulgaria,100
Burkina Faso,11000
Burundi,8700
Ivory Coast,43000
Cabo Verde,200
Cambodia,7600
Cameroon,28000
Canada,No data
Central African Republic,14000
Chad,6900
Chile,No data
China,No data
Colombia,6300
Comoros,100
Republic of the Congo,6000
Cook Islands,No data
Costa Rica,200
Croatia,No data
Cuba,100
Cyprus,No data
Czech Republic,100
North Korea,No data
Democratic Republic of the Congo,40000
Denmark,No data
Djibouti,1000
Dominica,No data
Dominican Republic,7400
Ecuador,1400
Egypt,200
El Salvador,1000
Equatorial Guinea,1000
Eritrea,1700
Estonia,No data
Ethiopia,85000
Fiji,100
Finland,No data
France,1000
Gabon,3200
Gambia,1000
Georgia,200
Germany,No data
Ghana,34000
Greece,No data
Grenada,No data
Guatemala,1000
Guinea,7000
Guinea-Bissau,1700
Guyana,200
Haiti,11000
Honduras,2000
Hungary,No data
Iceland,No data
India,150000
Indonesia,8800
Iran,1700
Iraq,No data
Ireland,No data
Israel,No data
Italy,No data
Jamaica,2100
Japan,No data
Jordan,100
Kazakhstan,500
Kenya,130000
Kiribati,No data
Kuwait,100
Kyrgyzstan,200
Laos,200
Latvia,500
Lebanon,100
Lesotho,15000
Liberia,4900
Libya,No data
Lithuania,100
Luxembourg,100
Madagascar,1100
Malawi,73000
Malaysia,8400
Maldives,No data
Mali,6900
Malta,100
Marshall Islands,No data
Mauritania,1000
Mauritius,No data
Mexico,5700
Micronesia (Federated States of),No data
Monaco,No data
Mongolia,100
Montenegro,100
Morocco,500
Mozambique,78000
Myanmar,16000
Namibia,11000
Nauru,No data
Nepal,2300
Netherlands,200
New Zealand,No data
Nicaragua,1000
Niger,4900
Nigeria,200000
Niue,No data
Norway,No data
Oman,No data
Pakistan,100
Palau,No data
Panama,1000
Papua New Guinea,1900
Paraguay,1000
Peru,5200
Philippines,100
Poland,No data
Portugal,No data
Qatar,100
South Korea,No data
Moldova,500
Romania,200
Russia,No data
Rwanda,15000
Saint Kitts and Nevis,No data
Saint Lucia,No data
Saint Vincent and the Grenadines,No data
Samoa,No data
San Marino,No data
Sao Tome and Principe,No data
Saudi Arabia,100
Senegal,2500
Serbia,100,
Seychelles,No data
Sierra Leone,2200
Singapore,No data
Slovakia,100
Slovenia,100
Solomon Islands,No data
Somalia,1800
South Africa,270000
South Sudan,8100
Spain,No data
Sri Lanka,100
Sudan,1200
Suriname,500
Swaziland,10000
Sweden,500
Switzerland,No data
Syrian Arab Republic,No data
Tajikistan,200
Thailand,42000
Macedonia,100
Timor-Leste,No data
Togo,8500
Tonga,No data
Trinidad and Tobago,500
Tunisia,100
Turkey,No data
Turkmenistan,No data
Tuvalu,No data
Uganda,84000
Ukraine,11000
United Arab Emirates,No data
United Kingdom,No data
Tanzania,120000
United States,No data
Uruguay,500
Uzbekistan,No data
Vanuatu,No data
Venezuela,2200
Vietnam,10000
Yemen,500
Zambia,64000
Zimbabwe,100000
Greenland, No data
Puerto Rico, No data
The Bahamas, No data
French Guiana, No data
Falkland Islands, No data
Western Sahara, No data
Guinea Bissau, No data
Somaliland, No data
Syria, No data
Republic of Serbia, No data
Taiwan, No data
New Calendonia, No data
