Country,values
Afghanistan,500
Albania,100
Algeria,200
Andorra,No data
Angola,11000
Antigua and Barbuda,No data
Argentina,2400
Armenia,200
Australia,500
Austria,No data
Azerbaijan,500
Bahamas,No data
Bahrain,100
Bangladesh,1000
Barbados,100
Belarus,200
Belgium,No data
Belize,200
Benin,2400
Bhutan,No data
Bolivia,1000
Bosnia and Herzegovina,No data
Botswana,3900
Brazil,14000
Brunei,No data
Bulgaria,200
Burkina Faso,3100
Burundi,2900
Ivory Coast,25000
Cabo Verde,100
Cambodia,1800
Cameroon,29000
Canada,No data
Central African Republic,7300
Chad,2800
Chile,No data
China,No data
Colombia,2800
Comoros,100
Republic of the Congo,3800
Cook Islands,No data,
Costa Rica,500
Croatia,No data
Cuba,200
Cyprus,No data
Czech Republic,100
North Korea,No data
Democratic Republic of the Congo,19000
Denmark,No data
Djibouti,1000
Dominica,No data
Dominican Republic,2200
Ecuador,1000
Egypt,500
El Salvador,1000
Equatorial Guinea,1000
Eritrea,1000
Estonia,No data
Ethiopia,20000
Fiji,100
Finland,No data
France,1000
Gabon,1500
Gambia,1100
Georgia,500
Germany,No data
Ghana,15000
Greece,No data
Grenada,No data
Guatemala,1600
Guinea,5800
Guinea-Bissau,2000
Guyana,200
Haiti,4600
Honduras,1000
Hungary,No data
Iceland,No data
India,62000
Indonesia,38000
Iran,4000
Iraq,No data
Ireland,No data
Israel,No data
Italy,No data
Jamaica,1300
Japan,No data
Jordan,100
Kazakhstan,1000
Kenya,36000
Kiribati,No data
Kuwait,100
Kyrgyzstan,500
Laos,500
Latvia,500
Lebanon,100
Lesotho,9900
Liberia,2800
Libya,No data
Lithuania,200
Luxembourg,100
Madagascar,1600
Malawi,24000
Malaysia,7000
Maldives,No data
Mali,6100
Malta,100
Marshall Islands,No data
Mauritania,1000
Mauritius,No data
Mexico,4200
Micronesia (Federated States of),No data
Monaco,No data
Mongolia,100
Montenegro,100
Morocco,1000
Mozambique,62000
Myanmar,7800
Namibia,4300
Nauru,No data
Nepal,1700
Netherlands,200
New Zealand,No data
Nicaragua,500
Niger,3400
Nigeria,160000
Niue,No data
Norway,No data
Oman,No data
Pakistan,5500
Palau,No data
Panama,1000
Papua New Guinea,1100
Paraguay,1000
Peru,2200
Philippines,1000
Poland,No data
Portugal,No data
Qatar,100
South Korea,No data
Moldova,500
Romania,200
Russia,No data
Rwanda,3300
Saint Kitts and Nevis,No data
Saint Lucia,No data,No data
Saint Vincent and the Grenadines,No data
Samoa,No data
San Marino,No data
Sao Tome and Principe,No data
Saudi Arabia,500
Senegal,1900
Serbia,100
Seychelles,No data
Sierra Leone,2800
Singapore,No data
Slovakia,100
Slovenia,100
Solomon Islands,No data
Somalia,1700
South Africa,110000
South Sudan,13000
Spain,No data
Sri Lanka,200
Sudan,3000
Suriname,200
Swaziland,3900
Sweden,100
Switzerland,No data
Syrian Arab Republic,No data
Tajikistan,1000
Thailand,16000
Macedonia,100
Timor-Leste,No data
Togo,5100
Tonga,No data
Trinidad and Tobago,500
Tunisia,100
Turkey,No data
Turkmenistan,No data
Tuvalu,No data
Uganda,28000
Ukraine,8500
United Arab Emirates,No data
United Kingdom,No data
Tanzania,33000
United States,No data
Uruguay,500
Uzbekistan,No data
Vanuatu,No data
Venezuela,2500
Vietnam,8000
Yemen,500
Zambia,21000
Zimbabwe,30000
Greenland, No data
Puerto Rico, No data
The Bahamas, No data
French Guiana, No data
Falkland Islands, No data
Western Sahara, No data
Guinea Bissau, No data
Somaliland, No data
Syria, No data
Republic of Serbia, No data
Taiwan, No data
New Calendonia, No data
