Country,death_2016,death_2010,death_2005,death_2000
Afghanistan,500,500,200,100
Albania,100,100,100,100
Algeria,200,500,500,200
Andorra,No data,No data,No data,No data
Angola,11000,9400,7600,3900
Antigua and Barbuda,No data,No data,No data,No data
Argentina,2400,2000,2000,2200
Armenia,200,200,200,100
Australia,500,1000,500,1000
Austria,No data,No data,No data,No data
Azerbaijan,500,500,200,100
Bahamas,No data,No data,No data,No data
Bahrain,100,100,100,100
Bangladesh,1000,1000,500,100
Barbados,100,100,100,100
Belarus,200,200,100,100
Belgium,No data,No data,No data,No data
Belize,200,100,100,100
Benin,2400,2400,4100,2500
Bhutan,No data,No data,No data,No data
Bolivia,1000,1100,1000,500
Bosnia and Herzegovina,No data,No data,No data,No data
Botswana,3900,5800,13000,15000
Brazil,14000,14000,14000,15000
Brunei Darussalam,No data,No data,No data,No data
Bulgaria,200,100,100,100
Burkina Faso,3100,5700,11000,14000
Burundi,2900,6400,8700,5800
Ivory Coast,25000,29000,43000,44000
Cabo Verde,100,200,200,200
Cambodia,1800,2600,7600,7400
Cameroon,29000,27000,28000,18000
Canada,No data,No data,No data,No data
Central African Republic,7300,9500,14000,13000
Chad,2800,3600,6900,4900
Chile,No data,No data,No data,No data
China,No data,No data,No data,No data
Colombia,2800,6600,6300,5100
Comoros,100,100,100,100
Congo,3800,3700,6000,6100
Cook Islands,No data,No data,No data,No data
Costa Rica,500,200,200,200
Croatia,No data,No data,No data,No data
Cuba,200,200,100,200
Cyprus,No data,No data,No data,No data
Czech Republic,100,100,100,100
North Korea,No data,No data,No data,No data
Democratic Republic of the Congo,19000,35000,40000,35000
Denmark,No data,No data,No data,No data
Djibouti,1000,1000,1000,500
Dominica,No data,No data,No data,No data
Dominican Republic,2200,4400,7400,5600
Ecuador,1000,1000,1400,1200
Egypt,500,500,200,100
El Salvador,1000,1000,1000,1000
Equatorial Guinea,1000,1100,1000,1000
Eritrea,1000,1000,1700,1000
Estonia,No data,No data,No data,No data
Ethiopia,20000,39000,85000,76000
Fiji,100,100,100,100
Finland,No data,No data,No data,No data
France,1000,1000,1000,1500
Gabon,1500,2900,3200,2300
Gambia,1100,1100,1000,500
Georgia,500,500,200,100
Germany,No data,No data,No data,No data
Ghana,15000,25000,34000,29000
Greece,No data,No data,No data,No data
Grenada,No data,No data,No data,No data
Guatemala,1600,1000,1000,500
Guinea,5800,5200,7000,5800
