Country,deaths
Afghanistan,120
Algeria,0
Angola,14000
Argentina,0
Armenia,0
Azerbaijan,0
Bangladesh,1600
Belize,0
Benin,6200
Bhutan,0
Bolivia,10
Botswana,10
Brazil,50
BurkinaFaso,17000
Burundi,3200
Ivory Coast,16000
CaboVerde,0
Cambodia,120
Cameroon,9400
Central African Republic,3800
Chad,7800
China,50
Colombia,100
Comoros,310
Congo,1600
Costa Rica,0
North Korea,0
Democratic Republic of the Congo,50000
Djibouti,50
Dominican Republic,10
Ecuador,0
ElSalvador,0
Equatorial Guinea,340
Eritrea,130
Ethiopia,6700
Gabon,370
Gambia,600
Georgia,0
Ghana,15000
Guatemala,10
Guinea,11000
Guinea-Bissau,680
Guyana,100
Haiti,280
Honduras,10
India,26000
Indonesia,6600
Iran,10
Iraq,0
Kenya,9900
Kyrgyzstan,0
Laos,180
Liberia,2200
Madagascar,3200
Malawi,7800
Malaysia,50
Mali,20000
Mauritania,1100
Mexico,0
Mozambique,16000
Myanmar,2300
Namibia,50
Nepal,10
Nicaragua,10
Niger,12000
Nigeria,120000
Oman,No data
Pakistan,1100
Panama,0
Papua New Guinea,3100
Paraguay,0
Peru,10
Philippines,50
South Korea,0
Russia,No data
Rwanda,3000
SaoTomeandPrincipe,100
Saudi Arabia,0
Senegal,4200
Sierra Leone,7800
Solomon Islands,50
Somalia,2000
South Africa,120
South Sudan,2900
SriLanka,0
Sudan,3300
Suriname,10
Swaziland,10
Syria,No data
Tajikistan,0
Thailand,50
Timor-Leste,130
Togo,4700
Turkey,0
Turkmenistan,0
Uganda,12000
Tanzania,17000
Uzbekistan,0
Vanuatu,10
Venezuela,150
Vietnam,50
Yemen,1100
Zambia,6700
Zimbabwe,2600
Chile, No data
Japan, No data
Australia, No data
New Zealand, No data
United States, No data
Canada, No data
Greenland, No data
Norway, No data
Iceland, No data
France, No data
Mongolia, No data
