Country,Country Code,Year,values
Afghanistan,AFG,2000,19701940
Afghanistan,AFG,2005,24399948
Afghanistan,AFG,2015,32526562
Albania,ALB,2000,3089027
Albania,ALB,2005,3011487
Albania,ALB,2015,2889167
Algeria,DZA,2000,31183658
Algeria,DZA,2005,33267887
Algeria,DZA,2015,39666519
Angola,AGO,2000,15058638
Angola,AGO,2005,17912942
Angola,AGO,2015,25021974
Argentina,ARG,2000,37057453
Argentina,ARG,2005,39145491
Argentina,ARG,2015,43416755
Armenia,ARM,2000,3076098
Armenia,ARM,2005,3014917
Armenia,ARM,2015,3017712
Aruba,ABW,2000,90858
Aruba,ABW,2005,100031
Aruba,ABW,2015,103889
Australia,AUS,2000,19153000
Australia,AUS,2005,20394800
Australia,AUS,2015,23789752
Austria,AUT,2000,8011566
Austria,AUT,2005,8227829
Austria,AUT,2015,8638366
Azerbaijan,AZE,2000,8048600
Azerbaijan,AZE,2005,8391850
Azerbaijan,AZE,2015,9649341
The Bahamas,BHS,2000,297891
The Bahamas,BHS,2005,329243
The Bahamas,BHS,2015,388019
Bahrain,BHR,2000,666855
Bahrain,BHR,2005,867014
Bahrain,BHR,2015,1377237
Bangladesh,BGD,2000,131280739
Bangladesh,BGD,2005,142929979
Bangladesh,BGD,2015,160995642
Barbados,BRB,2000,269838
Barbados,BRB,2005,274013
Barbados,BRB,2015,284215
Belarus,BLR,2000,9979610
Belarus,BLR,2005,9663915
Belarus,BLR,2015,9489616
Belgium,BEL,2000,10251250
Belgium,BEL,2005,10478617
Belgium,BEL,2015,11249420
Belize,BLZ,2000,247312
Belize,BLZ,2005,283279
Belize,BLZ,2015,359287
Benin,BEN,2000,6949366
Benin,BEN,2005,8182362
Benin,BEN,2015,10879829
Bermuda,BMU,2000,61833
Bermuda,BMU,2005,64154
Bermuda,BMU,2015,65235
Bhutan,BTN,2000,564187
Bhutan,BTN,2005,651163
Bhutan,BTN,2015,774830
Bolivia,BOL,2000,8339512
Bolivia,BOL,2005,9125405
Bolivia,BOL,2015,10724705
Bosnia and Herzegovina,BIH,2000,3792878
Bosnia and Herzegovina,BIH,2005,3833377
Bosnia and Herzegovina,BIH,2015,3810416
Botswana,BWA,2000,1736579
Botswana,BWA,2005,1864003
Botswana,BWA,2015,2262485
Brazil,BRA,2000,175786441
Brazil,BRA,2005,188479240
Brazil,BRA,2015,207847528
British Virgin Islands,VGB,2000,20643
British Virgin Islands,VGB,2005,23169
British Virgin Islands,VGB,2015,30117
Brunei Darussalam,BRN,2000,330554
Brunei Darussalam,BRN,2005,361889
Brunei Darussalam,BRN,2015,423188
Bulgaria,BGR,2000,8170172
Bulgaria,BGR,2005,7658972
Bulgaria,BGR,2015,7177991
Burkina Faso,BFA,2000,11607944
Burkina Faso,BFA,2005,13421929
Burkina Faso,BFA,2015,18105570
Burundi,BDI,2000,6767073
Burundi,BDI,2005,7934213
Burundi,BDI,2015,11178921
Cabo Verde,CPV,2000,438737
Cabo Verde,CPV,2005,474224
Cabo Verde,CPV,2015,520502
Cambodia,KHM,2000,12197905
Cambodia,KHM,2005,13320058
Cambodia,KHM,2015,15577899
Cameroon,CMR,2000,15927713
Cameroon,CMR,2005,18126999
Cameroon,CMR,2015,23344179
Canada,CAN,2000,30769700
Canada,CAN,2005,32312000
Canada,CAN,2015,35848610
Cayman Islands,CYM,2000,41685
Cayman Islands,CYM,2005,48623
Cayman Islands,CYM,2015,59967
Central African Republic,CAF,2000,3726048
Central African Republic,CAF,2005,4055608
Central African Republic,CAF,2015,4900274
Chad,TCD,2000,8343321
Chad,TCD,2005,10067932
Chad,TCD,2015,14037472
Channel Islands,CHI,2000,148725
Channel Islands,CHI,2005,154298
Channel Islands,CHI,2015,163692
Chile,CHL,2000,15170387
Chile,CHL,2005,16096571
Chile,CHL,2015,17948141
China,CHN,2000,1262645000
China,CHN,2005,1303720000
China,CHN,2015,1371220000
Colombia,COL,2000,40403959
Colombia,COL,2005,43285636
Colombia,COL,2015,48228704
Comoros,COM,2000,547696
Comoros,COM,2005,618632
Comoros,COM,2015,788474
Democratic Republic of the Congo,COD,2000,48048664
Democratic Republic of the Congo,COD,2005,56089536
Democratic Republic of the Congo,COD,2015,77266814
"Republic of the Congo",COG,2000,3109269
"Republic of the Congo",COG,2005,3503086
"Republic of the Congo",COG,2015,4620330
Costa Rica,CRI,2000,3925450
Costa Rica,CRI,2005,4247843
Costa Rica,CRI,2015,4807850
Ivory Coast,CIV,2000,16517948
Ivory Coast,CIV,2005,18132702
Ivory Coast,CIV,2015,22701556
Croatia,HRV,2000,4426000
Croatia,HRV,2005,4442000
Croatia,HRV,2015,4203604
Cuba,CUB,2000,11116787
Cuba,CUB,2005,11261052
Cuba,CUB,2015,11389562
Curacao,CUW,2000,133860
Curacao,CUW,2005,137658
Curacao,CUW,2015,157979
Cyprus,CYP,2000,943287
Cyprus,CYP,2005,1032586
Cyprus,CYP,2015,1165300
Czech Republic,CZE,2000,10255063
Czech Republic,CZE,2005,10211216
Czech Republic,CZE,2015,10546059
Denmark,DNK,2000,5339616
Denmark,DNK,2005,5419432
Denmark,DNK,2015,5683483
Djibouti,DJI,2000,722562
Djibouti,DJI,2005,778406
Djibouti,DJI,2015,887861
Dominica,DMA,2000,69679
Dominica,DMA,2005,70542
Dominica,DMA,2015,72680
Dominican Republic,DOM,2000,8562623
Dominican Republic,DOM,2005,9237565
Dominican Republic,DOM,2015,10528391
Ecuador,ECU,2000,12628596
Ecuador,ECU,2005,13735232
Ecuador,ECU,2015,16144363
"Egypt, Arab Rep.",EGY,2000,68334905
"Egypt, Arab Rep.",EGY,2005,74942115
"Egypt, Arab Rep.",EGY,2015,91508084
El Salvador,SLV,2000,5811836
El Salvador,SLV,2005,5947206
El Salvador,SLV,2015,6126583
Equatorial Guinea,GNQ,2000,530896
Equatorial Guinea,GNQ,2005,625866
Equatorial Guinea,GNQ,2015,845060
Eritrea,ERI,2000,3535156
Eritrea,ERI,2005,4191273
Estonia,EST,2000,1396985
Estonia,EST,2005,1354775
Estonia,EST,2015,1314608
Ethiopia,ETH,2000,66443603
Ethiopia,ETH,2005,76608431
Ethiopia,ETH,2015,99390750
Faroe Islands,FRO,2000,46491
Faroe Islands,FRO,2005,48337
Faroe Islands,FRO,2015,48199
Fiji,FJI,2000,811223
Fiji,FJI,2005,821820
Fiji,FJI,2015,892145
Finland,FIN,2000,5176209
Finland,FIN,2005,5246096
Finland,FIN,2015,5479531
France,FRA,2000,60912498
France,FRA,2005,63179356
France,FRA,2015,66538391
French Polynesia,PYF,2000,237267
French Polynesia,PYF,2005,254884
French Polynesia,PYF,2015,282764
Gabon,GAB,2000,1231548
Gabon,GAB,2005,1377777
Gabon,GAB,2015,1725292
"Gambia, The",GMB,2000,1228863
"Gambia, The",GMB,2005,1440542
"Gambia, The",GMB,2015,1990924
Georgia,GEO,2000,4418300
Georgia,GEO,2005,4190000
Georgia,GEO,2015,3717100
Germany,DEU,2000,82211508
Germany,DEU,2005,82469422
Germany,DEU,2015,81679769
Ghana,GHA,2000,18824994
Ghana,GHA,2005,21389514
Ghana,GHA,2015,27409893
Gibraltar,GIB,2000,27351
Gibraltar,GIB,2005,29080
Gibraltar,GIB,2015,32217
Greece,GRC,2000,10805808
Greece,GRC,2005,10987314
Greece,GRC,2015,10820883
Greenland,GRL,2000,56200
Greenland,GRL,2005,56935
Greenland,GRL,2015,56114
Grenada,GRD,2000,101620
Grenada,GRD,2005,102951
Grenada,GRD,2015,106825
Guam,GUM,2000,155328
Guam,GUM,2005,158401
Guam,GUM,2015,169885
Guatemala,GTM,2000,11688660
Guatemala,GTM,2005,13183505
Guatemala,GTM,2015,16342897
Guinea,GIN,2000,8799165
Guinea,GIN,2005,9669023
Guinea,GIN,2015,12608590
Guinea-Bissau,GNB,2000,1315455
